,id,age,gender_female,gender_male,race_asian,race_black,race_mexican_american,race_other,race_other_hispanic,race_white
5348,114611.0,61.0,1,0,0,0,0,0,0,1
5349,114612.0,40.0,1,0,0,1,0,0,0,0
5350,114613.0,6.0,1,0,0,0,0,1,0,0
5351,114614.0,37.0,0,1,1,0,0,0,0,0
5352,114615.0,19.0,1,0,0,1,0,0,0,0
5353,114616.0,63.0,0,1,0,0,0,0,0,1
5354,114617.0,22.0,0,1,0,0,1,0,0,0
5355,114618.0,9.0,1,0,0,1,0,0,0,0
5356,114619.0,80.0,1,0,0,0,0,0,0,1
5357,114620.0,51.0,1,0,0,0,0,0,0,1
5358,114621.0,30.0,0,1,0,1,0,0,0,0
5359,114622.0,72.0,0,1,0,0,0,0,0,1
5360,114623.0,5.397605346934028e-79,1,0,0,0,0,0,0,1
5361,114624.0,43.0,0,1,0,1,0,0,0,0
5362,114625.0,36.0,0,1,1,0,0,0,0,0
5363,114626.0,53.0,1,0,0,1,0,0,0,0
5364,114627.0,5.397605346934028e-79,1,0,1,0,0,0,0,0
5365,114628.0,8.0,0,1,0,0,1,0,0,0
5366,114629.0,15.0,0,1,1,0,0,0,0,0
5367,114630.0,16.0,0,1,0,0,0,0,0,1
5368,114631.0,37.0,1,0,0,0,0,0,0,1
5369,114632.0,49.0,1,0,0,0,0,0,0,1
5370,114633.0,35.0,1,0,0,0,0,0,1,0
5371,114634.0,32.0,1,0,0,0,0,0,0,1
5372,114635.0,10.0,0,1,0,0,0,0,0,1
5373,114636.0,50.0,0,1,0,0,0,0,1,0
5374,114637.0,59.0,1,0,0,0,1,0,0,0
5375,114638.0,43.0,0,1,0,0,0,0,1,0
5376,114639.0,1.0,0,1,0,0,0,0,0,1
5377,114640.0,33.0,1,0,0,0,0,0,0,1
5378,114641.0,26.0,1,0,1,0,0,0,0,0
5379,114642.0,80.0,0,1,0,0,0,0,0,1
5380,114643.0,50.0,0,1,1,0,0,0,0,0
5381,114644.0,5.0,0,1,0,0,0,0,1,0
5382,114645.0,45.0,1,0,0,0,1,0,0,0
5383,114646.0,40.0,1,0,0,0,0,0,1,0
5384,114647.0,44.0,1,0,0,1,0,0,0,0
5385,114648.0,42.0,0,1,0,0,1,0,0,0
5386,114649.0,6.0,0,1,0,0,1,0,0,0
5387,114650.0,62.0,0,1,1,0,0,0,0,0
5388,114651.0,31.0,1,0,0,0,1,0,0,0
5389,114652.0,23.0,0,1,0,0,0,0,0,1
5390,114653.0,57.0,0,1,0,0,0,0,0,1
5391,114654.0,2.0,0,1,0,0,0,1,0,0
5392,114655.0,5.0,0,1,0,0,0,0,0,1
5393,114656.0,10.0,0,1,0,0,1,0,0,0
5394,114657.0,18.0,0,1,0,1,0,0,0,0
5395,114658.0,46.0,0,1,0,0,0,0,0,1
5396,114659.0,33.0,0,1,0,1,0,0,0,0
5397,114660.0,26.0,1,0,0,0,1,0,0,0
5398,114661.0,63.0,0,1,0,1,0,0,0,0
5399,114662.0,14.0,1,0,0,1,0,0,0,0
5400,114663.0,67.0,0,1,0,1,0,0,0,0
5401,114664.0,60.0,0,1,0,0,1,0,0,0
5402,114665.0,5.0,0,1,0,1,0,0,0,0
5403,114666.0,46.0,1,0,0,1,0,0,0,0
5404,114667.0,2.0,1,0,0,0,0,0,0,1
5405,114668.0,1.0,0,1,0,0,1,0,0,0
5406,114669.0,38.0,1,0,1,0,0,0,0,0
5407,114670.0,5.397605346934028e-79,0,1,1,0,0,0,0,0
5408,114671.0,29.0,1,0,0,1,0,0,0,0
5409,114672.0,40.0,0,1,1,0,0,0,0,0
5410,114673.0,49.0,0,1,1,0,0,0,0,0
5411,114674.0,45.0,1,0,1,0,0,0,0,0
5412,114675.0,15.0,0,1,0,1,0,0,0,0
5413,114676.0,55.0,0,1,1,0,0,0,0,0
5414,114677.0,41.0,1,0,0,1,0,0,0,0
5415,114678.0,12.0,1,0,0,1,0,0,0,0
5416,114679.0,4.0,1,0,0,1,0,0,0,0
5417,114680.0,80.0,0,1,0,0,0,0,0,1
5418,114681.0,39.0,0,1,0,0,0,0,1,0
5419,114682.0,56.0,1,0,0,1,0,0,0,0
5420,114683.0,22.0,0,1,1,0,0,0,0,0
5421,114684.0,16.0,1,0,0,0,0,1,0,0
5422,114685.0,1.0,0,1,0,0,0,0,0,1
5423,114686.0,80.0,1,0,0,0,0,0,0,1
5424,114687.0,54.0,1,0,0,0,0,0,0,1
5425,114688.0,28.0,1,0,0,1,0,0,0,0
5426,114689.0,17.0,1,0,0,0,1,0,0,0
5427,114690.0,41.0,1,0,0,1,0,0,0,0
5428,114691.0,34.0,1,0,0,1,0,0,0,0
5429,114692.0,41.0,0,1,0,0,0,0,1,0
5430,114693.0,48.0,1,0,0,0,0,0,0,1
5431,114694.0,3.0,0,1,1,0,0,0,0,0
5432,114695.0,38.0,1,0,0,0,0,0,1,0
5433,114696.0,36.0,0,1,0,0,0,0,0,1
5434,114697.0,6.0,0,1,0,0,0,0,0,1
5435,114698.0,60.0,0,1,0,1,0,0,0,0
5436,114699.0,74.0,0,1,1,0,0,0,0,0
5437,114700.0,70.0,0,1,0,0,0,0,0,1
5438,114701.0,38.0,1,0,0,0,0,0,0,1
5439,114702.0,27.0,1,0,0,0,0,0,0,1
5440,114703.0,63.0,0,1,0,0,1,0,0,0
5441,114704.0,15.0,0,1,0,1,0,0,0,0
5442,114705.0,39.0,0,1,1,0,0,0,0,0
5443,114706.0,9.0,0,1,0,0,1,0,0,0
5444,114707.0,67.0,0,1,0,1,0,0,0,0
5445,114708.0,51.0,0,1,0,0,0,0,0,1
